170,122
169,122
168,122
167,122
166,122
165,122
164,123
163,124
162,125
161,126
160,126
159,126
158,126
157,126
156,126
155,126
154,126
153,126
152,126
151,126
150,126
149,126
148,126
147,126
146,126
145,125
144,124
143,123
142,122
141,122
140,122
139,122
138,122
137,122
136,122
135,122
134,122
133,122
132,122
131,122
130,122
129,122
128,122
127,122
126,122
125,122
124,122
123,122
122,122
121,122
120,122
119,122
118,122
117,122
116,122
115,122
114,122
113,122
112,122
111,122
110,122
109,122
108,122
107,122
106,122
105,122
104,122
103,122
102,122
101,122
100,122
99,122
98,122
97,122
96,122
95,122
94,122
93,122
92,122
91,122
90,122
89,122
88,122
87,122
86,122
85,122
84,122
83,122
82,122
81,122
80,122
79,122
78,122
77,122
76,122
75,122
74,122
73,122
72,122
71,122
70,122
69,122
68,122
67,122
66,121
65,120
64,119
63,118
62,117
61,116
60,115
59,114
58,113
57,112
56,111
55,110
